"UF","CNPJ","CEP","IE","FLAGS","IND_ORGAO_GOVERNAMENTAL","COD_NATUREZA_JURIDICA","TICO_CODIGO","ENTE_FEDERATIVO","INSCR_SUFRAMA"
"SC","83.637.025/0001-28","89010912","ISENTO","","N","206-2","06","",""
"MT","26.143.741/0001-15","78635000","ISENTO","","N","","06","",""
"SP","02.000.874/0001-74","13150001","276059062116","","N","206-2","03","",""
"SP","22.206.800/0001-04","01206001","ISENTO","","N","","06","",""
"SC","32.356.027/0001-08","89072200","260037087","","N","","03","",""
"SC","07.549.194/0001-28","88355000","255033230","","N","","03","",""
"MS","00.211.271/0001-96","79071340","ISENTO","","N","","06","",""
"SP","00.692.788/0001-44","09750620","ISENTO","","N","223-2","06","",""
"SP","15.428.894/0003-54","06600160","398162080113","","N","206-2","03","",""
"BA","03.007.331/0097-93","42735100","195222822","","N","","03","",""
"SP","04.999.489/0001-08","06361400","255187665114","","N","206-2","03","",""
"ES","27.777.903/0001-30","29342000","080128840","","N","","03","",""
"PE","55.389.859/0001-26","53130240","ISENTO","","N","206-2","06","",""
"GO","28.022.726/0001-44","74723100","ISENTO","","N","","06","",""
"SP","53.432.100/0001-53","02462080","149496330113","","N","","03","",""
"SC","83.205.955/0001-02","88015100","ISENTO","","N","","06","",""
"RS","82.459.116/0005-81","90035072","0963861808","","N","","03","",""
"RO","84.652.767/0001-95","76804420","00000000457540","","N","","03","",""
"RJ","29.771.961/0001-81","20051011","ISENTO","","N","","06","",""
"MG","01.878.284/0001-86","32215000","1866758600079","","N","","03","",""
"GO","02.685.006/0001-75","76388899","100325645","","N","206-2","03","",""
"SP","43.120.817/0001-06","11724190","558746506114","","N","","03","",""
"MS","02.916.265/0202-76","79750000","283790580","","N","204-6","03","",""
"SP","16.746.270/0001-86","05058000","ISENTO","","N","","06","",""
"AM","24.352.003/0001-52","69006240","063009242","ZFM","N","206-2","03","","200141627"
"DF","37.063.328/0001-67","71680120","ISENTO","","N","206-2","06","",""
"MG","04.834.065/0006-06","37558750","ISENTO","","N","","06","",""
"SC","01.709.285/0001-05","88102001","ISENTO","","N","","06","",""
"SP","59.105.635/0002-87","09615020","635006710113","","N","","03","",""
"SC","08.937.631/0001-43","89500064","255444214","","N","206-2","03","",""
"MG","26.189.084/0001-47","35541000","4566519960004","","N","","03","",""
"RJ","41.232.039/0001-11","20011001","ISENTO","","N","","06","",""
"AM","15.690.824/0001-08","69850000","053248929","","N","","03","",""
